Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof . And the other : sparrow , heron , eagle .
Before the meeting , Mary wrote down the following lists of words . One was : submarine , yacht , canoe , freighter , tugboat , steamship , sailboat , destroyer , battleship , cruiser . And the other : parrot , pigeon , woodpecker , vulture , robin , sparrow , heron , eagle , crow , hawk .
Before the meeting , Mary wrote down the following lists of words . One was : cruiser , submarine , yacht , canoe , freighter , tugboat , steamship , sailboat , destroyer , battleship . And the other : apricot , apple , pear , banana , peach , grape , cherry , plum , grapefruit , lemon .
Before the meeting , Mary wrote down the following lists of words . One was : battleship , cruiser , submarine , yacht , canoe , freighter , tugboat , steamship , sailboat , destroyer . And the other : blue , red , green , yellow , black , purple , white , pink , brown , blonde .
Before the meeting , Mary wrote down the following lists of words . One was : destroyer , battleship , cruiser , submarine , yacht , canoe , freighter , tugboat , steamship , sailboat . And the other : ant , bee , mosquito , spider , beetle , wasp , moth , flea , butterfly , fly .
Before the meeting , Mary wrote down the following lists of words . One was : robin , sparrow , heron , eagle , crow , hawk , parrot , pigeon , woodpecker , vulture . And the other : grape , cherry , plum , grapefruit , lemon , apricot , apple , pear , banana , peach .
Before the meeting , Mary wrote down the following lists of words . One was : vulture , robin , sparrow , heron , eagle , crow , hawk , parrot , pigeon , woodpecker . And the other : satin , velvet , denim , canvas , felt , cotton , wool , silk , rayon , linen .
Before the meeting , Mary wrote down the following lists of words . One was : woodpecker , vulture , robin , sparrow , heron , eagle , crow , hawk , parrot , pigeon . And the other : shark , herring , perch , salmon , tuna , goldfish , cod , carp , pike , trout .
Before the meeting , Mary wrote down the following lists of words . One was : pigeon , woodpecker , vulture , robin , sparrow , heron , eagle , crow , hawk , parrot . And the other : carp , pike , trout , shark , herring , perch , salmon , tuna , goldfish , cod .
Before the meeting , Mary wrote down the following lists of words . One was : parrot , pigeon , woodpecker , vulture , robin , sparrow , heron , eagle , crow , hawk . And the other : pan , pot , stove , bowl , mixer , cup , dish , knife , spoon , fork .
Before the meeting , Mary wrote down the following lists of words . One was : hawk , parrot , pigeon , woodpecker , vulture , robin , sparrow , heron , eagle , crow . And the other : screws , hammer , saw , nails , level , plane , chisel , ruler , wrench , drill .
Before the meeting , Mary wrote down the following lists of words . One was : crow , hawk , parrot , pigeon , woodpecker , vulture , robin , sparrow , heron , eagle . And the other : microbiology , chemistry , physics , psychology , biology , zoology , botany , astronomy , mathematics , geology .
Before the meeting , Mary wrote down the following lists of words . One was : eagle , crow , hawk , parrot , pigeon , woodpecker , vulture , robin , sparrow , heron . And the other : cancer , measles , tuberculosis , polio , malaria , leukemia , pneumonia , smallpox , influenza , encephalitis .
Before the meeting , Mary wrote down the following lists of words . One was : heron , eagle , crow , hawk , parrot , pigeon , woodpecker , vulture , robin , sparrow . And the other : hat , sweater , shirt , socks , pants , shoes , blouse , skirt , coat , dress .
Before the meeting , Mary wrote down the following lists of words . One was : sparrow , heron , eagle , crow , hawk , parrot , pigeon , woodpecker , vulture , robin . And the other : smallpox , influenza , encephalitis , cancer , measles , tuberculosis , polio , malaria , leukemia , pneumonia .
Before the meeting , Mary wrote down the following lists of words . One was : apple , pear , banana , peach , grape , cherry , plum , grapefruit , lemon , apricot . And the other : larceny , adultery , battery , murder , rape , robbery , theft , assault , arson , kidnapping .
Before the meeting , Mary wrote down the following lists of words . One was : apricot , apple , pear , banana , peach , grape , cherry , plum , grapefruit , lemon . And the other : dress , hat , sweater , shirt , socks , pants , shoes , blouse , skirt , coat .
Before the meeting , Mary wrote down the following lists of words . One was : lemon , apricot , apple , pear , banana , peach , grape , cherry , plum , grapefruit . And the other : clarinet , flute , guitar , saxophone , trombone , oboe , piano , drum , trumpet , violin .
Before the meeting , Mary wrote down the following lists of words . One was : grapefruit , lemon , apricot , apple , pear , banana , peach , grape , cherry , plum . And the other : adultery , battery , murder , rape , robbery , theft , assault , arson , kidnapping , larceny .
Before the meeting , Mary wrote down the following lists of words . One was : plum , grapefruit , lemon , apricot , apple , pear , banana , peach , grape , cherry . And the other : pine , elm , birch , spruce , redwood , walnut , fir , hickory , oak , maple .
Before the meeting , Mary wrote down the following lists of words . One was : cherry , plum , grapefruit , lemon , apricot , apple , pear , banana , peach , grape . And the other : cup , dish , knife , spoon , fork , pan , pot , stove , bowl , mixer .
Before the meeting , Mary wrote down the following lists of words . One was : grape , cherry , plum , grapefruit , lemon , apricot , apple , pear , banana , peach . And the other : oak , maple , pine , elm , birch , spruce , redwood , walnut , fir , hickory .
Before the meeting , Mary wrote down the following lists of words . One was : peach , grape , cherry , plum , grapefruit , lemon , apricot , apple , pear , banana . And the other : cave , mountain , hill , valley , river , rock , lake , canyon , tundra , ocean .
Before the meeting , Mary wrote down the following lists of words . One was : banana , peach , grape , cherry , plum , grapefruit , lemon , apricot , apple , pear . And the other : heron , eagle , crow , hawk , parrot , pigeon , woodpecker , vulture , robin , sparrow .
Before the meeting , Mary wrote down the following lists of words . One was : pear , banana , peach , grape , cherry , plum , grapefruit , lemon , apricot , apple . And the other : oxygen , hydrogen , nitrogen , carbon , sodium , sulphur , helium , chlorine , calcium , potassium .
Before the meeting , Mary wrote down the following lists of words . One was : hammer , saw , nails , level , plane , chisel , ruler , wrench , drill , screws . And the other : shoes , blouse , skirt , coat , dress , hat , sweater , shirt , socks , pants .
Before the meeting , Mary wrote down the following lists of words . One was : screws , hammer , saw , nails , level , plane , chisel , ruler , wrench , drill . And the other : violin , clarinet , flute , guitar , saxophone , trombone , oboe , piano , drum , trumpet .
Before the meeting , Mary wrote down the following lists of words . One was : drill , screws , hammer , saw , nails , level , plane , chisel , ruler , wrench . And the other : ceiling , room , basement , hearth , hall , window , door , roof , wall , floor .
Before the meeting , Mary wrote down the following lists of words . One was : wrench , drill , screws , hammer , saw , nails , level , plane , chisel , ruler . And the other : elm , birch , spruce , redwood , walnut , fir , hickory , oak , maple , pine .
